
2025/06/09 (08:00:33) | DEBUG: Using locale en_US.UTF-8
2025/06/09 (08:00:33) | INFO: Running on /dev/pts/2
2025/06/09 (08:00:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/06/09 (08:00:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/06/09 (08:00:33) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/06/09 (08:00:33) | DEBUG: Shared::init() : Initialized.

2025/06/09 (08:41:30) | ===> btop++ v.1.4.0
2025/06/09 (08:41:30) | INFO: Logger set to DEBUG
2025/06/09 (08:41:30) | DEBUG: Using locale en_US.UTF-8
2025/06/09 (08:41:30) | INFO: Running on /dev/pts/3
2025/06/09 (08:41:30) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/06/09 (08:41:30) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/06/09 (08:41:30) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/06/09 (08:41:30) | DEBUG: Shared::init() : Initialized.

2025/06/09 (09:36:10) | ===> btop++ v.1.4.0
2025/06/09 (09:36:10) | INFO: Logger set to DEBUG
2025/06/09 (09:36:10) | DEBUG: Using locale en_US.UTF-8
2025/06/09 (09:36:10) | INFO: Running on /dev/pts/1
2025/06/09 (09:36:10) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/06/09 (09:36:10) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/06/09 (09:36:10) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/06/09 (09:36:10) | DEBUG: Shared::init() : Initialized.

2025/06/09 (13:43:40) | ===> btop++ v.1.4.0
2025/06/09 (13:43:40) | INFO: Logger set to DEBUG
2025/06/09 (13:43:40) | DEBUG: Using locale en_US.UTF-8
2025/06/09 (13:43:40) | INFO: Running on /dev/pts/1
2025/06/09 (13:43:40) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/06/09 (13:43:40) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/06/09 (13:43:40) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/06/09 (13:43:40) | DEBUG: Shared::init() : Initialized.

2025/06/30 (13:07:18) | ===> btop++ v.1.4.0
2025/06/30 (13:07:18) | INFO: Logger set to DEBUG
2025/06/30 (13:07:18) | DEBUG: Using locale en_US.UTF-8
2025/06/30 (13:07:18) | INFO: Running on /dev/pts/2
2025/06/30 (13:07:18) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
